Date,Open,High,Low,Close,Adj Close,Volume
2/15/2024,17815.32031,17864.58984,17722.31055,17845.7207,17845.7207,6049100000
2/16/2024,17853.58984,17864.16016,17663.40039,17685.98047,17685.98047,5223800000
2/20/2024,17591.16992,17657.08008,17399.41016,17546.09961,17546.09961,5595700000
2/21/2024,17412.78906,17482.13086,17319.43945,17478.91016,17478.91016,4845740000
2/22/2024,17857.75977,18034.80078,17808.25977,18004.69922,18004.69922,5653930000
2/23/2024,18052.58984,18091.61914,17902.7793,17937.60938,17937.60938,5077910000
2/26/2024,17970.21094,18014.10938,17926.66016,17933.33008,17933.33008,5417630000
2/27/2024,17962.58008,17987.53906,17871.06055,17971.05078,17971.05078,5423020000
2/28/2024,17895.0293,17931.00977,17840.35938,17874.5,17874.5,5581690000
2/29/2024,17991.66992,18068.51953,17866.25977,18043.84961,18043.84961,6265340000
3/1/2024,18069.28906,18333.25977,18064.43945,18302.91016,18302.91016,5457910000
3/4/2024,18290.09961,18313.42969,18218.25,18226.48047,18226.48047,5725470000
3/5/2024,18088.71094,18097.5,17804.5,17897.86914,17897.86914,6356800000
3/6/2024,18083.50977,18142.88086,17941.64063,18017.57031,18017.57031,5511370000
3/7/2024,18161.73047,18337.94922,18101.42969,18297.99023,18297.99023,5072790000
3/8/2024,18312.78906,18416.73047,17995.38086,18018.44922,18018.44922,5411790000
3/11/2024,17959.67969,18003.05078,17873.33008,17951.68945,17951.68945,4917620000
3/12/2024,18063.01953,18228.36914,17919.33008,18219.10938,18219.10938,5100330000
3/13/2024,18151.75977,18163.74023,18030.40039,18068.4707,18068.4707,4839000000
3/14/2024,18114.68945,18142.90039,17913.63086,18014.81055,18014.81055,5450980000
